iter	MultiClass
0	1.371973849
1	1.358293056
2	1.345658857
3	1.33552647
4	1.324844329
5	1.315274578
6	1.303752522
7	1.296166415
8	1.287151592
9	1.278766932
10	1.270156336
11	1.263446761
12	1.256612262
13	1.248628312
14	1.239862008
15	1.233029684
16	1.226148261
17	1.217966186
18	1.210725886
19	1.205436795
20	1.199964822
21	1.19360638
22	1.189641314
23	1.183371207
24	1.178182243
25	1.171416983
26	1.165388988
27	1.158380308
28	1.151584626
29	1.145688194
30	1.14124579
31	1.137830543
32	1.132640439
33	1.127296542
34	1.121223155
35	1.11425065
36	1.109482754
37	1.102571756
38	1.095409912
39	1.091808009
40	1.086662819
41	1.082823539
42	1.077708357
43	1.070497265
44	1.065727101
45	1.06136147
46	1.057709109
47	1.053127318
48	1.04874679
49	1.042059548
50	1.037994941
51	1.033526156
52	1.029110317
53	1.026338076
54	1.022581503
55	1.018329986
56	1.013006767
57	1.008417751
58	1.004779407
59	0.9995804422
60	0.9961614376
61	0.9919002668
62	0.9889219297
63	0.9846146975
64	0.9785447947
65	0.9757510118
66	0.9711232578
67	0.9669533291
68	0.9647617756
69	0.9603140549
70	0.9582035474
71	0.9534809962
72	0.9495286367
73	0.9452186139
74	0.9405642457
75	0.9376731778
76	0.9333757961
77	0.9305250743
78	0.9248336704
79	0.9214345892
80	0.9187879971
81	0.9163649032
82	0.9143881603
83	0.9100431585
84	0.9051747231
85	0.9014808549
86	0.8980087729
87	0.8950417096
88	0.8912334439
89	0.8896374261
90	0.8853224708
91	0.8825868703
92	0.878799611
93	0.8743785728
94	0.8710790395
95	0.867028245
96	0.8644394983
97	0.8620909387
98	0.8598033341
99	0.8561532035
100	0.8539904404
101	0.8513266697
102	0.8464753555
103	0.8431044517
104	0.8393668592
105	0.8380323507
106	0.8350715865
107	0.8322759967
108	0.8303525861
109	0.8277989533
110	0.8264483697
111	0.8231263848
112	0.8204733597
113	0.8169521045
114	0.8132484134
115	0.8116582365
116	0.8089984602
117	0.8050991971
118	0.8015729044
119	0.7980884856
120	0.7941285682
121	0.7920025274
122	0.7895193589
123	0.7843479123
124	0.7805546196
125	0.7755768196
126	0.7731418469
127	0.7705998411
128	0.7671150786
129	0.7620976076
130	0.758096245
131	0.7552052215
132	0.7526157575
133	0.7490300924
134	0.7470810371
135	0.7423975484
136	0.739933298
137	0.7369704458
138	0.7336983255
139	0.7295579556
140	0.7277382063
141	0.7254465278
142	0.7221073246
143	0.7193546465
144	0.7159217426
145	0.7138344472
146	0.7107595795
147	0.7078563381
148	0.7047909534
149	0.7014448098
150	0.697897336
151	0.6947183978
152	0.6926208992
153	0.6903474659
154	0.6872216192
155	0.6839744989
156	0.6817006544
157	0.6801134191
158	0.677044227
159	0.6753818583
160	0.6734085769
161	0.671742337
162	0.6699577014
163	0.6677290806
164	0.6650820167
165	0.66337739
166	0.6607889337
167	0.6577484978
168	0.6552127501
169	0.6521925609
170	0.6501753444
171	0.6486014348
172	0.6470021152
173	0.6440257967
174	0.6414905882
175	0.6390438124
176	0.6362797947
177	0.6339197925
178	0.6328332187
179	0.63126811
180	0.6290054157
181	0.6263337195
182	0.6237032795
183	0.6216309094
184	0.6203137169
185	0.617194217
186	0.6154622616
187	0.6123571187
188	0.6100753122
189	0.6072792775
190	0.6047695162
191	0.6030706327
192	0.6003816789
193	0.5985148283
194	0.5968014915
195	0.5954582536
196	0.5925854131
197	0.5915117478
198	0.5891941955
199	0.5873069303
200	0.5852422554
201	0.5833818523
202	0.5808226192
203	0.5782853581
204	0.5766263171
205	0.5750844346
206	0.5735226096
207	0.5717831897
208	0.5699385821
209	0.5688383561
210	0.5669075347
211	0.5646920452
212	0.5614277793
213	0.5595594161
214	0.5576102412
215	0.5558047193
216	0.5541933541
217	0.5512677862
218	0.5490163192
219	0.5468948261
220	0.544094457
221	0.5430192119
222	0.5403923394
223	0.5388471783
224	0.5375484209
225	0.535225401
226	0.5338189144
227	0.5318986059
228	0.5299824173
229	0.5284669323
230	0.5262127428
231	0.5254740561
232	0.5243285214
233	0.5231596098
234	0.5215065809
235	0.519686043
236	0.5184779411
237	0.5163944016
238	0.5143961423
239	0.5119392825
240	0.5104995065
241	0.5091122799
242	0.5072727426
243	0.5055069155
244	0.5030430318
245	0.5016328345
246	0.5005195088
247	0.4986536728
248	0.4975428524
249	0.4949510998
250	0.4930539727
251	0.4923536526
252	0.4899344303
253	0.4881865237
254	0.4861760204
255	0.4841588921
256	0.4818922095
257	0.4804792424
258	0.4789317756
259	0.4776847571
260	0.4768040589
261	0.4748637115
262	0.4731707895
263	0.4712675496
264	0.4707478955
265	0.4688514887
266	0.4678436637
267	0.4661828842
268	0.4651101293
269	0.4643851271
270	0.4631839683
271	0.4608626096
272	0.4590009484
273	0.4577573104
274	0.4567608965
275	0.4552132947
276	0.4535516384
277	0.4507104786
278	0.4484016265
279	0.4468956419
280	0.4461863986
281	0.4450313031
282	0.4435401601
283	0.4418664699
284	0.440816059
285	0.4398879425
286	0.4386475476
287	0.4368945703
288	0.4353118738
289	0.4340664881
290	0.432801406
291	0.4317214394
292	0.4299648332
293	0.4288672304
294	0.4276439855
295	0.4263206368
296	0.4254004278
297	0.4245450776
298	0.4231738887
299	0.4214448927
300	0.4201623638
301	0.4186416427
302	0.4177983858
303	0.4167088007
304	0.4154696321
305	0.4149102703
306	0.4139075745
307	0.412677129
308	0.4112830926
309	0.4099853777
310	0.4088977246
311	0.4078693455
312	0.4067628028
313	0.4056234746
314	0.4042504096
315	0.4028580205
316	0.4018193808
317	0.4003135307
318	0.399095669
319	0.3977774561
320	0.3965048519
321	0.3954596441
322	0.3942452233
323	0.3933912226
324	0.3921520209
325	0.3910426163
326	0.3897611647
327	0.3886647799
328	0.387432677
329	0.3863422813
330	0.3854675584
331	0.3847332412
332	0.384132764
333	0.3831444645
334	0.38226104
335	0.3807908711
336	0.3796633548
337	0.3780923739
338	0.377006628
339	0.3762039753
340	0.3752179265
341	0.373860769
342	0.3728469566
343	0.3718949106
344	0.371664896
345	0.3703231331
346	0.3694398409
347	0.3680569798
348	0.3668340923
349	0.3663226669
350	0.3650548648
351	0.364164969
352	0.3629255591
353	0.362158937
354	0.3608560276
355	0.359450312
356	0.3591834136
357	0.3583657196
358	0.3574359681
359	0.3564953283
360	0.3553982139
361	0.3545917731
362	0.3536736515
363	0.3528457686
364	0.3514103205
365	0.3505722352
366	0.3487337192
367	0.347823494
368	0.3468302621
369	0.346097174
370	0.3446627863
371	0.3429668136
372	0.3417016244
373	0.3404734115
374	0.3398082263
375	0.3390167765
376	0.338093813
377	0.337119725
378	0.3358962114
379	0.335248632
380	0.3340630524
381	0.3334349024
382	0.3326666325
383	0.3318891585
384	0.3311441945
385	0.3298300131
386	0.3293793576
387	0.3284001005
388	0.3272846966
389	0.3263845336
390	0.3257518767
391	0.325031904
392	0.3242886519
393	0.3239598646
394	0.3233010594
395	0.3223563423
396	0.3209271125
397	0.3195577047
398	0.3188149763
399	0.3178072864
400	0.3170538112
401	0.3163883029
402	0.3154384461
403	0.3146679514
404	0.3138151428
405	0.312688078
406	0.3118858646
407	0.3106086954
408	0.3099465481
409	0.3086220715
410	0.3076067348
411	0.3070984423
412	0.3063898514
413	0.3053624809
414	0.3050664519
415	0.3046201327
416	0.3035983382
417	0.303003477
418	0.3015848479
419	0.3008895152
420	0.2998751457
421	0.2989133737
422	0.2981091994
423	0.2968874349
424	0.2958614182
425	0.2949262824
426	0.2942635111
427	0.2935414932
428	0.293141441
429	0.2924957194
430	0.291973296
431	0.2911022617
432	0.2900597838
433	0.2890643467
434	0.2880964451
435	0.2870877312
436	0.2863745533
437	0.2856002316
438	0.2849064982
439	0.283784274
440	0.2825760301
441	0.2818814689
442	0.2811009809
443	0.2802147301
444	0.2794044149
445	0.2782328565
446	0.2777286455
447	0.276837979
448	0.2759678556
449	0.2756343382
450	0.2750423703
451	0.2745490543
452	0.273651719
453	0.2731781745
454	0.2724780577
455	0.2711818346
456	0.2709280752
457	0.2701754989
458	0.2699235549
459	0.2690665342
460	0.2685180102
461	0.2678411462
462	0.2671691885
463	0.2666907897
464	0.2659597372
465	0.2651908061
466	0.2645518748
467	0.2636837502
468	0.2632972863
469	0.2628757544
470	0.2622619296
471	0.2614948343
472	0.2608596911
473	0.2602056852
474	0.2596068587
475	0.2591437517
476	0.2585559171
477	0.2578397854
478	0.2573359814
479	0.2563371883
480	0.2555784931
481	0.255220213
482	0.2547970584
483	0.2541635701
484	0.2534588197
485	0.2526456879
486	0.2519603295
487	0.2514239519
488	0.2510142262
489	0.2502510847
490	0.2495064524
491	0.2491152189
492	0.2485877005
493	0.2480923921
494	0.247242053
495	0.2466922381
496	0.2457989512
497	0.2450294478
498	0.2446655606
499	0.2440210174
500	0.2435432352
501	0.2428925042
502	0.2426036082
503	0.2420045918
504	0.241493978
505	0.2409120219
506	0.2404821673
507	0.2397500084
508	0.2392465933
509	0.2383295793
510	0.2377511631
511	0.2373809589
512	0.236927912
513	0.2362612404
514	0.235816628
515	0.2352721126
516	0.234145124
517	0.2334067081
518	0.2326073055
519	0.2318879342
520	0.2314886415
521	0.2309610377
522	0.2304901918
523	0.229738425
524	0.2293844176
525	0.2286594028
526	0.2279108927
527	0.2274117796
528	0.2271252158
529	0.2270124705
530	0.2266200146
531	0.2260387395
532	0.2254243501
533	0.2249471544
534	0.2241926726
535	0.2237830211
536	0.2231000425
537	0.2226128236
538	0.2221098618
539	0.221465803
540	0.2208541101
541	0.2204780042
542	0.2199850493
543	0.2191982756
544	0.218727424
545	0.2183132656
546	0.217675382
547	0.21703863
548	0.2168070741
549	0.2160629604
550	0.2155909407
551	0.2147795585
552	0.2140207632
553	0.2131484801
554	0.2124600903
555	0.211805661
556	0.2112430521
557	0.2107370458
558	0.2105376568
559	0.2096975155
560	0.2090304862
561	0.2082751388
562	0.2079087673
563	0.2075489134
564	0.2070504081
565	0.2066532832
566	0.2060999704
567	0.205511282
568	0.2052012705
569	0.2047040458
570	0.2042602747
571	0.2038347971
572	0.2034362369
573	0.2029731142
574	0.2023650032
575	0.2018856135
576	0.2012198361
577	0.2008614683
578	0.2003371968
579	0.19977031
580	0.1992769981
581	0.1987336672
582	0.1981198265
583	0.1976872099
584	0.1972068924
585	0.1966560767
586	0.1961478363
587	0.1954728651
588	0.1951704399
589	0.1948446885
590	0.1944096031
591	0.1939711432
592	0.1935726148
593	0.193254185
594	0.1930303266
595	0.1925741805
596	0.1920097815
597	0.1916361595
598	0.1912218835
599	0.1906694541
600	0.1902806316
601	0.1895671112
602	0.1892276428
603	0.1888800728
604	0.1883323801
605	0.1881613414
606	0.1877723513
607	0.1873585419
608	0.1871843487
609	0.1869369205
610	0.1863905588
611	0.1859323955
612	0.1855623666
613	0.1851473828
614	0.1847517758
615	0.184243184
616	0.1839898225
617	0.1835257119
618	0.1831509609
619	0.1827492925
620	0.1825249091
621	0.1822318649
622	0.1816071034
623	0.1811589791
624	0.1808940649
625	0.1802666915
626	0.1798291084
627	0.179231316
628	0.1789265736
629	0.1785299418
630	0.1781484421
631	0.1778387635
632	0.1774589312
633	0.1769359936
634	0.1765246463
635	0.1759302737
636	0.175556508
637	0.1749921888
638	0.1747483544
639	0.1742359681
640	0.1738917474
641	0.1733948635
642	0.1729896387
643	0.1725670052
644	0.1723006144
645	0.1717864928
646	0.1715127943
647	0.1711605067
648	0.1707965726
649	0.1705722912
650	0.1701249491
651	0.169668546
652	0.1692477231
653	0.1688191698
654	0.1683261075
655	0.1679578834
656	0.1673975559
657	0.166884701
658	0.1665327501
659	0.1662785786
660	0.1659331111
661	0.1657152902
662	0.1652596557
663	0.1649751955
664	0.1646590866
665	0.1642967888
666	0.1639580754
667	0.1636064296
668	0.1631378222
669	0.1628607056
670	0.1623904054
671	0.1617902908
672	0.1615165755
673	0.1610039244
674	0.1607923345
675	0.1603813733
676	0.1601234875
677	0.1598321773
678	0.1595289416
679	0.1593126451
680	0.1589633116
681	0.1586965853
682	0.1583016013
683	0.1580094229
684	0.1577304618
685	0.1572573554
686	0.1569067023
687	0.156592145
688	0.1563013983
689	0.1557597088
690	0.1555247022
691	0.1552303284
692	0.1548745554
693	0.1545760581
694	0.1542323018
695	0.1540266448
696	0.1538499941
697	0.1534197815
698	0.1531714829
699	0.1528615562
700	0.1525840126
701	0.1523764455
702	0.1519324511
703	0.1516503368
704	0.1513754662
705	0.1511935641
706	0.1510060423
707	0.1507439382
708	0.1505586683
709	0.150358055
710	0.1501584096
711	0.1498297113
712	0.1496332782
713	0.1493498118
714	0.1491178168
715	0.1487998388
716	0.148562199
717	0.1482028234
718	0.1479478148
719	0.1477539521
720	0.147629407
721	0.1474599751
722	0.147227151
723	0.1468629298
724	0.1465357444
725	0.1460383668
726	0.1456699522
727	0.1455347927
728	0.1454191676
729	0.1449946356
730	0.1447572891
731	0.1444216546
732	0.1442078976
733	0.1439567349
734	0.1437056067
735	0.1433332822
736	0.1430446497
737	0.1427014839
738	0.1424903729
739	0.1422797785
740	0.1419369853
741	0.1416993058
742	0.1414632424
743	0.1410382105
744	0.1408879941
745	0.1405895474
746	0.1402984587
747	0.1401485778
748	0.1399705182
749	0.1396966605
750	0.1393649663
751	0.1389206483
752	0.1387047149
753	0.1385304489
754	0.1382602575
755	0.138074862
756	0.1378846911
757	0.1376910491
758	0.1374447388
759	0.1373035287
760	0.1370520207
761	0.1366917435
762	0.1364491212
763	0.1361954302
764	0.1359021066
765	0.135633664
766	0.1353101923
767	0.1350692566
768	0.1349462748
769	0.1346239107
770	0.1343137253
771	0.1341404304
772	0.1338904166
773	0.133672839
774	0.1333728678
775	0.133173525
776	0.1329476646
777	0.1328645448
778	0.1327312305
779	0.1325470077
780	0.1323006939
781	0.1320985117
782	0.1318416948
783	0.1315897922
784	0.131279631
785	0.1310783405
786	0.1306985803
787	0.1304977665
788	0.1304433462
789	0.1301278017
790	0.1297355355
791	0.1295958557
792	0.1292871635
793	0.1291639138
794	0.1290144674
795	0.1288390409
796	0.128631185
797	0.1284280704
798	0.1282549913
799	0.1279873427
800	0.1277086317
801	0.1276026792
802	0.1272656098
803	0.1270061254
804	0.1267254601
805	0.1264344593
806	0.1263105368
807	0.1260745668
808	0.125766964
809	0.1256555207
